"出资主体","项目","被投企业","现金流时间","现金流金额","现金流类型","科目","备注"
"东方投资","创新项目","明日科技","2023/01/10","500000","流入","投资款","初期投资"
"南方资本","发展项目","星辰公司","2023/02/15","800000","流入","投资款","项目启动"
"西方控股","扩展项目","辉煌企业","2023/03/20","600000","流入","投资款","业务拓展"
"中方集团","转型项目","新兴产业","2023/04/25","700000","流入","投资款","企业转型"
"北方基金","研发项目","前沿科技","2023/05/30","900000","流入","投资款","技术研发"
"东方资本","升级项目","顶点公司","2023/06/15","400000","流入","投资款","产品升级"
"南方投资","优化项目","卓越企业","2023/07/20","550000","流入","投资款","流程优化"
"西方控股","突破项目","远景集团","2023/08/25","750000","流入","投资款","技术突破"
"中方集团","创新项目","明日之星","2023/09/30","650000","流入","投资款","创新尝试"
"北方基金","发展项目","光辉企业","2023/10/15","850000","流入","投资款","项目发展"
"东方投资","扩展项目","星辰产业","2023/11/20","450000","流入","投资款","业务扩展"
"南方资本","转型项目","新兴科技","2023/12/25","500000","流入","投资款","企业转型"
"西方控股","研发项目","前沿产业","2024/01/30","600000","流入","投资款","研发投入"
"中方集团","升级项目","顶点科技","2024/02/15","700000","流入","投资款","产品升级"
"北方基金","优化项目","卓越科技","2024/03/20","400000","流入","投资款","流程优化"
"东方资本","突破项目","远景公司","2024/04/25","550000","流入","投资款","技术突破"
"南方投资","创新项目","明日产业","2024/05/30","750000","流入","投资款","创新探索"
"西方控股","发展项目","光辉集团","2024/06/15","650000","流入","投资款","项目推进"
"中方集团","扩展项目","星辰科技","2024/07/20","850000","流入","投资款","业务拓展"
"北方基金","转型项目","新兴公司","2024/08/25","450000","流入","投资款","企业转变"
"东方投资","研发项目","前沿企业","2024/09/30","500000","流入","投资款","研发启动"
"南方资本","升级项目","顶点产业","2024/10/15","600000","流入","投资款","产品提升"
"西方控股","优化项目","卓越集团","2024/11/20","700000","流入","投资款","流程改进"
"中方集团","突破项目","远景科技","2024/12/25","400000","流入","投资款","技术跨越"
"北方基金","创新项目","明日集团","2025/01/15","550000","流入","投资款","创新行动"
"东方资本","发展项目","光辉产业","2025/02/15","750000","流入","投资款","项目进展"
"南方投资","扩展项目","星辰公司","2025/03/15","650000","流入","投资款","业务扩张"
"西方控股","转型项目","新兴集团","2025/04/15","850000","流入","投资款","企业转型"
"中方集团","研发项目","前沿集团","2025/05/15","450000","流入","投资款","研发投入" 
