"项目简称","项目全称","出资主体","所属行业","细分行业","项目注册省","项目注册市","里程碑或上市进展","项目简介","投资时间","投资轮次","投资成本","投资时持股比例","该轮投后估值","该轮融资金额","同轮共同投资方及金额","被投项目最新估值_1","估值方式","最新估值时间","最新融资安排","对项目的投资成本","对项目的持股比例","信息更新时间","已退出投资成本","投资收益/分红","退出日期"
"智慧医疗","智慧医疗科技有限公司","XX 投资基金","医疗","医疗器械","广东","深圳","筹备上市","致力于高端医疗器械研发","2020/05","A 轮","500 万","10%","5000 万","1000 万","YY 投资 300 万，ZZ 投资 200 万","8000 万","市盈率","2023/08","正在进行 B 轮融资","500 万","10%","2023/09","200 万","50 万","2023/07"
"创新制造","创新制造股份有限公司","XX 资本","制造业","机械制造","江苏","苏州","已上市","专注于先进机械制造","2019/03","B 轮","800 万","15%","5333 万","1500 万","AA 资本 800 万，BB 资本 700 万","12000 万","市净率","2023/06","暂无","800 万","15%","2023/08","300 万","100 万","2023/05"
"前沿传媒","前沿传媒有限公司","XX 投资公司","传媒","广告营销","北京","北京","完成多轮融资","提供前沿的广告创意服务","2018/09","Pre-A 轮","300 万","8%","3750 万","750 万","CC 投资 250 万，DD 投资 200 万","6000 万","市销率","2023/07","准备 C 轮融资","300 万","8%","2023/08","150 万","30 万","2023/04"
"绿色能源","绿色能源发展有限公司","XX 集团","能源","新能源","山东","济南","技术突破","专注于新能源开发与应用","2021/07","天使轮","200 万","5%","4000 万","800 万","EE 投资 300 万，FF 投资 300 万","5500 万","成本法","2023/09","暂无","200 万","5%","2023/09","80 万","20 万","2023/08"
"智慧教育","智慧教育科技有限公司","XX 风投","教育","在线教育","浙江","杭州","业务扩张","打造优质在线教育平台","2022/02","A 轮","600 万","12%","5000 万","1200 万","GG 投资 400 万，HH 投资 200 万","7000 万","收益法","2023/05","正在进行 B 轮融资","600 万","12%","2023/06","250 万","60 万","2023/03"
"金融科技","金融科技服务有限公司","XX 创投","金融","金融科技","上海","上海","获得重要合作","提供创新金融科技解决方案","2017/11","B 轮","1000 万","20%","5000 万","2000 万","II 投资 800 万，JJ 投资 600 万","9000 万","资产基础法","2023/04","暂无","1000 万","20%","2023/05","400 万","120 万","2023/02"
"农业创新","农业创新发展有限公司","XX 产业基金","农业","生态农业","四川","成都","产品推广","推动农业创新发展","2020/08","Pre-A 轮","400 万","10%","4000 万","800 万","KK 投资 300 万，LL 投资 200 万","5000 万","市场法","2023/07","准备 A 轮融资","400 万","10%","2023/08","180 万","40 万","2023/06"
"物流智能","物流智能服务有限公司","XX 投资机构","物流","智能物流","湖北","武汉","服务升级","提供智能物流解决方案","2019/06","A 轮","700 万","14%","5000 万","1400 万","MM 投资 500 万，NN 投资 200 万","7500 万","实物期权法","2023/08","正在进行 B 轮融资","700 万","14%","2023/09","300 万","70 万","2023/05"
"文化创意","文化创意产业有限公司","XX 文化投资","文化","影视制作","湖南","长沙","作品获奖","创作优质影视作品","2018/12","B 轮","900 万","18%","5000 万","1800 万","OO 投资 600 万，PP 投资 300 万","8000 万","可比交易法","2023/06","暂无","900 万","18%","2023/07","400 万","90 万","2023/04"
"科技前沿","科技前沿有限公司","XX 科技基金","科技","人工智能","安徽","合肥","技术突破","专注于前沿科技研发","2021/03","天使轮","300 万","6%","5000 万","900 万","QQ 投资 300 万，RR 投资 300 万","6500 万","重置成本法","2023/09","准备 A 轮融资","300 万","6%","2023/09","120 万","30 万","2023/07"
"电商创新","电商创新服务有限公司","XX 电商投资","互联网","电商平台","福建","厦门","用户增长","打造创新电商服务模式","2020/01","A 轮","550 万","11%","5000 万","1100 万","SS 投资 400 万，TT 投资 200 万","7200 万","现金流折现法","2023/05","正在进行 B 轮融资","550 万","11%","2023/06","230 万","55 万","2023/03"
"制造升级","制造升级有限公司","XX 制造资本","制造业","智能制造","河北","石家庄","产能提升","致力于制造业升级改造","2019/08","B 轮","850 万","17%","5000 万","1700 万","UU 投资 600 万，VV 投资 300 万","9500 万","经济增加值法","2023/04","暂无","850 万","17%","2023/05","350 万","85 万","2023/02"
"能源环保","能源环保有限公司","XX 能源投资","能源","可再生能源","山西","太原","项目落地","开发可再生能源","2020/10","Pre-A 轮","450 万","9%","5000 万","900 万","WW 投资 300 万，XX 投资 200 万","6000 万","期权定价法","2023/07","准备 A 轮融资","450 万","9%","2023/08","200 万","45 万","2023/06"
"教育服务","教育服务有限公司","XX 教育基金","教育","教育培训","辽宁","沈阳","品牌建设","提供优质教育培训服务","2018/05","A 轮","650 万","13%","5000 万","1300 万","YY 投资 500 万，ZZ 投资 200 万","7800 万","相对价值法","2023/06","正在进行 B 轮融资","650 万","13%","2023/07","280 万","65 万","2023/04"
"传媒娱乐","传媒娱乐有限公司","XX 传媒投资","传媒","娱乐营销","吉林","长春","市场拓展","提供传媒娱乐营销服务","2019/11","B 轮","750 万","15%","5000 万","1500 万","AA 投资 500 万，BB 投资 300 万","8500 万","清算价值法","2023/05","暂无","750 万","15%","2023/06","320 万","75 万","2023/03"
"医疗健康","医疗健康有限公司","XX 医疗资本","医疗","医疗服务","黑龙江","哈尔滨","服务优化","提供专业医疗健康服务","2020/06","Pre-A 轮","350 万","7%","5000 万","700 万","CC 投资 250 万，DD 投资 150 万","5800 万","实物期权定价法","2023/08","准备 A 轮融资","350 万","7%","2023/09","150 万","35 万","2023/07"
"物流快运","物流快运有限公司","XX 物流投资","物流","快运服务","河南","郑州","业务增长","提供高效物流快运服务","2018/07","A 轮","580 万","11.6%","5000 万","1160 万","EE 投资 400 万，FF 投资 200 万","7000 万","蒙特卡罗模拟法","2023/04","正在进行 B 轮融资","580 万","11.6%","2023/05","250 万","58 万","2023/02"
"文化旅游","文化旅游有限公司","XX 文旅投资","旅游","文化旅游","广西","桂林","景区开发","打造特色文化旅游景区","2019/04","B 轮","880 万","17.6%","5000 万","1760 万","GG 投资 600 万，HH 投资 300 万","9800 万","敏感性分析法","2023/03","暂无","880 万","17.6%","2023/04","380 万","88 万","2023/01"
"科技服务","科技服务有限公司","XX 科技风投","科技","科技服务","海南","三亚","技术应用","提供专业科技服务","2020/09","A 轮","680 万","13.6%","5000 万","1360 万","II 投资 500 万，JJ 投资 200 万","7800 万","决策树分析法","2023/07","正在进行 B 轮融资","680 万","13.6%","2023/08","280 万","68 万","2023/05"
"电商物流","电商物流有限公司","XX 电商资本","互联网","电商物流","云南","昆明","配送优化","优化电商物流配送服务","2018/10","B 轮","780 万","15.6%","5000 万","1560 万","KK 投资 500 万，LL 投资 200 万","8800 万","风险调整贴现率法","2023/06","暂无","780 万","15.6%","2023/07","330 万","78 万","2023/04" 
