"项目名称","累计投资金额","投资时间","退出合计金额","IRR"
"先进制造基地升级项目","500000","2022-05-10","250000","0.12"
"智慧物流园区建设项目","600000","2021-08-15","300000","0.15"
"高端装备研发中心项目","450000","2020-03-20","220000","0.10"
"环保产业创新基地项目","750000","2023-01-05","380000","0.18"
"新能源汽车生产设施项目","800000","2022-10-12","400000","0.20"
"生物制药厂房扩建项目","550000","2021-06-28","280000","0.14"
"现代化仓储设施建设项目","650000","2020-11-18","330000","0.16"
"电子信息产业园开发项目","700000","2023-04-08","350000","0.17"
"新材料研发基地项目","400000","2021-12-30","200000","0.10"
"智能装备制造厂房项目","850000","2022-07-16","430000","0.21"
"工业互联网创新中心项目","500000","2020-09-05","250000","0.12"
"绿色建材生产基地项目","600000","2023-02-22","300000","0.15"
"医疗器械研发中心项目","450000","2021-04-10","220000","0.10"
"智能制造示范园区项目","750000","2022-09-25","380000","0.18"
"新能源产业研发基地项目","800000","2020-07-03","400000","0.20"
"高端芯片生产厂房项目","550000","2021-10-18","280000","0.14"
"航空航天零部件生产基地项目","650000","2023-03-12","330000","0.16"
"智能家电生产设施项目","700000","2022-08-08","350000","0.17"
"新一代信息技术产业园项目","400000","2020-12-20","200000","0.10"
"生物医药产业基地项目","850000","2021-05-05","430000","0.21"
"智能交通设施研发项目","500000","2023-01-15","250000","0.12"
"精密仪器制造厂房项目","600000","2022-06-30","300000","0.15"
"工业机器人研发中心项目","450000","2020-08-12","220000","0.10"
"新能源储能设施建设项目","750000","2021-11-28","380000","0.18"
"智能电网设备生产基地项目","800000","2023-02-08","400000","0.20" 
