"团队简称","所属公司全称","团队类型","状态","团队所在省","团队所在市","项目来源","具体推荐单位","推荐人","推荐时间","活跃状况","对接人","相关附件","关注行业","关注阶段","基金规模（亿）","已募集金额（亿）","向我方募集金额（亿）","其他意向方","机构实力（评分）","评分介绍","团队简介","募资需求","差异化投资策略","综合评价","是否需要提交撰写反馈材料","是否园丰推荐给招商载体","招商载体/局办名称","我方材料撰写人","反馈日期","反馈材料文件上传","是否提交撰写反馈材料","招商载体","我方推荐人","推荐日期","录入人","录入时间"
"星耀团队","辉煌投资有限公司","投资团队","正常","广东","深圳","自主开发","创新咨询公司","张三","2023/01/05","活跃","李四","无","科技","早期","10","3","2","无","8","经验丰富，业绩良好","专业的投资团队，具备丰富行业经验","5","专注新兴技术领域投资","良好","是","否","高新技术产业园区","王五","2023/02/10","无","否","产业园区","赵六","2023/03/15","孙七","2023/04/20"
"明日团队","远大资本管理公司","风控团队","暂停","江苏","南京","合作推荐","金融服务机构","李四","2023/05/25","不活跃","王五","有","医疗","中期","8","2","1","有","7","风险控制能力较强","严谨负责的风控团队","4","注重风险与收益平衡","优秀","是","是","经济开发区","赵六","2023/06/30","有","是","开发区","孙七","2023/07/15","周八","2023/08/20"
"光辉团队","华瑞资产管理公司","研究团队","活跃","浙江","杭州","行业调研","投资协会","王五","2023/09/25","活跃","赵六","无","能源","后期","12","5","3","无","9","研究深入，见解独到","富有创新思维的研究团队","6","侧重长期价值投资","出色","否","否","工业园区","孙七","2023/10/30","无","否","园区","周八","2023/11/15","吴九","2023/12/20"
"卓越团队","丰泽投资集团","运营团队","正常","山东","青岛","客户推荐","企业联盟","赵六","2024/01/25","活跃","孙七","有","制造","早期","9","4","2","有","8","运营高效，成果显著","经验丰富的运营团队","5","关注产业升级机会","良好","是","否","产业园区","周八","2024/02/28","有","是","产业区","吴九","2024/03/15","郑十","2024/04/30"
"星辰团队","永盛金融服务公司","营销团队","暂停","福建","福州","政府对接","商会组织","孙七","2024/05/20","不活跃","周八","无","文化","中期","7","2","1","无","7","市场拓展能力较强","积极进取的营销团队","4","挖掘文化创意潜力","优秀","是","是","文化创意园区","吴九","2024/06/25","无","否","文创园","郑十","2024/07/30","王十一","2024/08/15"
"朝阳团队","明辉投资有限公司","财务团队","活跃","河南","郑州","网络筛选","行业组织","周八","2024/09/10","活跃","吴九","有","教育","后期","11","5","3","有","9","财务专业，管理规范","专业的财务团队","6","重视教育领域投资","出色","否","否","教育产业园区","郑十","2024/10/15","有","是","教育园","王十一","2024/11/20","李十二","2024/12/25"
"蓝天团队","辉腾资本管理公司","法务团队","正常","湖北","武汉","实地考察","金融机构","吴九","2025/01/10","活跃","郑十","无","环保","早期","8","3","2","无","8","法务严谨，保障有力","严谨负责的法务团队","4","关注环保产业发展","良好","是","否","环保产业园区","王十一","2025/02/15","无","否","环保园","李十二","2025/03/20","赵十三","2025/04/25"
"皓月团队","宏远投资公司","投后管理团队","暂停","湖南","长沙","竞品分析","咨询公司","郑十","2025/05/20","不活跃","王十一","有","农业","中期","7","2","1","有","7","投后管理经验丰富","专业的投后管理团队","3","注重农业产业投资","优秀","是","是","农业产业园区","李十二","2025/06/25","有","是","农业园","赵十三","2025/07/30","孙十四","2025/08/15"
"清风团队","金瑞资本有限公司","项目开发团队","活跃","四川","成都","专家推荐","行业联盟","王十一","2025/09/10","活跃","李十二","无","电商","后期","10","4","2","无","9","项目开发能力突出","富有创新精神的项目开发团队","5","关注电商行业变革","出色","否","否","电商产业园区","赵十三","2025/10/15","无","否","电商园","孙十四","2025/11/20","周十五","2025/12/25"
"彩云团队","瑞丰投资集团","策略研究团队","正常","河北","石家庄","媒体报道","商会组织","李十二","2026/01/10","活跃","赵十三","有","物流","早期","9","3","2","有","8","策略研究深入准确","专业的策略研究团队","4","侧重物流领域创新","良好","是","否","物流产业园区","孙十四","2026/02/15","有","是","物流园","周十五","2026/03/20","吴十六","2026/04/25"
