招引类型,推荐时间,项目名称,项目简介,543 产业类别,落地业态,项目落地需求,对接时间,是否已发推荐函,推进进展,是否落地,落地板块,落地时间
企业招商,2023-01-10, 智联科技项目,专注于智能物联网技术研发与应用,新一代信息技术,科技研发中心,办公场地、政策扶持,2023-01-15, 是,正在与相关部门洽谈场地及政策细节,否,,
企业招商,2023-02-15, 瑞康医药项目,从事创新药物研发与生产,生物医药,生物医药生产基地,土地、科研设备配套,2023-02-20, 是,等待土地审批流程,否,,
企业招商,2023-03-20, 星耀制造项目,致力于高端装备制造与智能制造系统开发,高端装备制造,智能制造工厂,工业用地、产业工人,2023-03-25, 是,进行项目规划设计,否,,
企业招商,2023-04-25, 云创数据项目,专注于大数据存储、分析及应用服务,大数据,数据处理中心,数据中心建设资源、人才,2023-05-01, 是,资源调配阶段,否,,
企业招商,2023-05-30, 创想新材料项目,专注于新型材料的研发与生产,新材料,新材料研发与生产基地,研发实验室、生产用地,2023-06-05, 是,筹备奠基仪式,否,,
企业招商,2023-06-15, 慧通新能源项目,聚焦新能源汽车电池技术研发与制造,新能源,新能源电池生产厂,产业园区入驻、资金支持,2023-06-20, 是,审核入驻园区申请,否,,
企业招商,2023-07-20, 灵犀智能项目,专注于人工智能算法及应用产品开发,人工智能,智能产品研发基地,科研团队支持、政策优惠,2023-07-25, 是,开展人才招聘工作,否,,
企业招商,2023-08-25, 优创环保项目,从事环保设备研发、生产及环保服务,节能环保,环保产业基地,生产车间、技术工人,2023-09-01, 是,确定合作协议条款,否,,
企业招商,2023-09-30, 瑞信金融科技项目,专注于金融科技产品研发与服务,金融科技,金融科技研发中心,金融科技人才、金融机构合作,2023-10-05, 是,对接金融机构,否,,
企业招商,2023-10-15, 途安物流项目,提供智能化物流解决方案及服务,现代物流,智慧物流园区,物流仓储用地、物流设备,2023-10-20, 是,场地选址中,否,,
企业招商,2023-11-20, 艺韵文化创意项目,专注于文化创意产品设计与开发,文化创意,文化创意产业园区,办公场地、文化产业扶持政策,2023-11-25, 是,等待政策批复,否,,
