"项目名称","项目总收入","累计退出本金","累计净收益金额","累计投资金额","剩余未退本金"
"新型智能工厂建设项目","500000","200000","100000","350000","150000"
"绿色环保产业园拓展项目","600000","250000","120000","420000","170000"
"高端商业中心升级改造项目","450000","180000","90000","300000","120000"
"现代化物流仓储基地项目","700000","280000","150000","500000","220000"
"创新科技研发中心建设项目","550000","220000","110000","380000","160000"
"智能化制造车间扩建项目","800000","300000","180000","550000","250000"
"生态农业示范园开发项目","400000","160000","80000","280000","120000"
"新能源汽车生产基地项目","750000","320000","160000","580000","260000"
"智慧医疗服务平台搭建项目","650000","250000","130000","450000","200000"
"文化创意产业园区建设项目","500000","200000","100000","360000","160000"
"大数据云计算中心项目","850000","350000","190000","620000","270000"
"高端住宅社区开发项目","700000","260000","140000","480000","220000"
"智能物流配送中心项目","600000","240000","120000","400000","160000"
"现代化工业厂房建设项目","550000","220000","110000","380000","160000"
"旅游度假区综合开发项目","900000","380000","200000","650000","270000"
"智慧城市基础设施建设项目","750000","300000","150000","520000","220000"
"环保材料生产基地项目","650000","250000","130000","460000","210000"
"跨境电商产业园项目","800000","320000","160000","580000","260000"
"教育培训基地建设项目","500000","200000","100000","350000","150000"
"生物医药研发中心项目","700000","280000","140000","500000","220000"
"智慧能源管理系统项目","600000","240000","120000","420000","180000"
"智能交通枢纽建设项目","850000","350000","190000","630000","280000"
"特色小镇建设项目","700000","260000","140000","480000","220000" 
