"项目名称","项目阶段","出资主体","项目活跃状态","项目组长","项目阶段_1","所属大类","细分行业","是否境外投资","出资比例","项目来源","股比情况","投资价值","内部投决会召开时间","本次投资方式","本次认缴投资总额","交割后我方股权比例","是否有董事会席位","股权投资金额"
"星辰科技项目","项目入库","东方资本","活跃","李华","早期","科技","软件","否","30%","自主开发","30:70","高","2023/05/10","股权直投","500000","30%","是","150000"
"辉煌制造项目","立项决策","南方投资","活跃","张华","成长期","制造","机械","否","25%","合作推荐","25:75","中","2023/06/15","股权收购","400000","25%","否","100000"
"绿能环保项目","投资决策","北方基金","不活跃","王强","成熟期","环保","新能源","否","40%","行业调研","40:60","高","2023/07/20","增资扩股","600000","40%","是","240000"
"瑞风医疗项目","董事会决策","西方控股","活跃","赵刚","早期","医疗","医疗器械","否","15%","专家推荐","15:85","低","2023/08/25","优先股投资","200000","15%","否","30000"
"瀚海传媒项目","基金决策","中方集团","活跃","孙明","成长期","传媒","广告","否","35%","市场挖掘","35:65","中","2023/09/30","可转债投资","550000","35%","是","192500"
"华彩金融项目","签约","联合资本","不活跃","陈丽","成熟期","金融","证券","否","20%","企业自荐","20:80","中","2023/10/15","股权质押","350000","20%","否","70000"
"卓越电商项目","出资","创新基金","活跃","李强","成长期","电商","跨境电商","否","28%","行业展会","28:72","高","2023/11/20","普通股投资","450000","28%","是","126000"
"飞扬物流项目","项目退出","智慧投资","不活跃","王丽","成熟期","物流","冷链物流","否","18%","网络筛选","18:82","低","2023/12/25","债转股","250000","18%","否","45000"
"烽火文创项目","项目入库","荣耀资本","活跃","刘勇","早期","文创","影视创作","否","32%","朋友介绍","32:68","中","2024/01/30","定增投资","580000","32%","是","185600"
"星月教育项目","立项决策","梦想基金","活跃","赵伟","成长期","教育","职业教育","否","22%","政府推荐","22:78","低","2024/02/15","产业投资","320000","22%","否","70400"
"阳光农业项目","投资决策","星辰资本","不活跃","孙燕","成熟期","农业","种植","否","26%","媒体报道","26:74","中","2024/03/25","战略投资","420000","26%","是","109200"
"彩虹文旅项目","董事会决策","未来投资","活跃","周敏","早期","文旅","乡村旅游","否","38%","行业峰会","38:62","高","2024/04/30","天使投资","700000","38%","是","266000"
"晨曦服务项目","基金决策","光辉基金","不活跃","吴昊","成长期","服务","咨询服务","否","16%","客户推荐","16:84","低","2024/05/15","风险投资","220000","16%","否","35200"
"瀚海贸易项目","签约","星辰控股","活跃","郑辉","成熟期","贸易","进出口贸易","否","30%","实地考察","30:70","中","2024/06/20","私募投资","550000","30%","是","165000"
"凌云化工项目","出资","华宇资本","活跃","王涛","成长期","化工","精细化工","否","24%","竞品分析","24:76","高","2024/07/25","并购投资","480000","24%","否","115200"
"旭日食品项目","项目退出","东方基金","不活跃","刘梅","成熟期","食品","休闲食品","否","19%","行业报告","19:81","低","2024/08/30","跟投","280000","19%","否","53200"
"辉煌房产项目","项目入库","南方控股","活跃","陈杰","早期","房产","商业地产","否","36%","大数据分析","36:64","高","2024/09/15","直投","650000","36%","是","234000"
"长风建筑项目","立项决策","北方投资","不活跃","李敏","成长期","建筑","住宅建筑","否","21%","专家预测","21:79","中","2024/10/20","联合投资","380000","21%","否","79800"
"繁星纺织项目","投资决策","西方资本","活跃","张敏","成熟期","纺织","服装纺织","否","17%","内部研讨","17:83","低","2024/11/25","夹层投资","260000","17%","否","44200"
"皓月能源项目","董事会决策","中方基金","活跃","王鹏","早期","能源","传统能源","否","29%","行业交流","29:71","中","2024/12/30","Pre-IPO 投资","520000","29%","是","150800"
"暖阳通信项目","基金决策","联合控股","活跃","赵娜","成长期","通信","5G 通信","否","33%","产业链分析","33:67","高","2025/01/15","基石投资","680000","33%","是","224400"
"清风建材项目","签约","创新资本","不活跃","周阳","成熟期","建材","新型建材","否","20%","竞品对比","20:80","低","2025/02/20","跟贷","360000","20%","否","72000"
"瀚宇汽车项目","出资","荣耀基金","活跃","吴刚","成长期","汽车","新能源汽车","否","37%","宏观研究","37:63","高","2025/03/25","过桥投资","750000","37%","是","277500"
"瑞云物流项目","项目退出","未来控股","不活跃","郑强","成熟期","物流","物流配送","否","23%","微观分析","23:77","中","2025/04/30","定增","400000","23%","否","92000"
"华瑞制造项目","项目入库","东方资本","活跃","李华","早期","制造","电子制造","否","28%","自主开发","28:72","高","2025/05/10","股权直投","560000","28%","是","156800"
"明辉科技项目","立项决策","南方投资","活跃","张华","成长期","科技","人工智能","否","22%","合作推荐","22:78","中","2025/06/15","股权收购","440000","22%","否","96800"
"宏盛医疗项目","投资决策","北方基金","不活跃","王强","成熟期","医疗","医疗服务","否","32%","行业调研","32:68","高","2025/07/20","增资扩股","640000","32%","是","204800"
"康达传媒项目","董事会决策","西方控股","活跃","赵刚","早期","传媒","新媒体","否","18%","专家推荐","18:82","低","2025/08/25","优先股投资","360000","18%","否","64800"
"盛宏文创项目","基金决策","中方集团","活跃","孙明","成长期","文创","动漫文创","否","30%","市场挖掘","30:70","中","2025/09/30","可转债投资","600000","30%","是","180000" 
